station_code,station_name,state,zone,address,latitude,longitude
KNAD,Kanad,Gujarat,WR,"Bhavnagar, Gujarat",21.649251036200003,71.9263402661
KRC,Kiroda,Rajasthan,NWR,"Degana, Rajasthan",26.991165000000002,74.311248
KRO,KURAWAN,Madhya Pradesh,WCR,"Harda, Madhya Pradesh",22.191568,76.888706
KSAE,KOSAI,Maharashtra,SCR,"Kinwat, Maharashtra",19.6395023854,78.334546145
KTLA,KATKOLA JN,Gujarat,WR,"Katkola Junction, Gujarat",21.8521799207,69.8841357111
KRGA,KURANGA,Gujarat,WR,"Jamnagar, Gujarat",22.061244,69.171715
KRCD,KHARWA CHANDA,Rajasthan,NWR,"Kharwa Chanda, Rajasthan",24.417762999999997,73.794095
VR,VIRAR,Maharashtra,WR,"Thane, Maharashtra",19.454407,72.811737
KTI,KANTI,Bihar,ECR,"Kanti, Bihar",26.198944,85.285092
KSU,KUSHTAUR,West Bengal,SER,"Purulia, West Bengal",23.430415999999997,86.498336
KTGD,KOTH GANGAD,Gujarat,WR,"Koth, Gujarat",22.6282749467,72.3016887134
KTO,KATORA,Chhattisgarh,SECR,"Patna, Chhattisgarh",23.3115927105,82.7112187811
KV,Kayavarohan,Gujarat,WR,"Kayavarohan, Gujarat",,
KVO,Kevdi Road,Gujarat,WR,"Gujarat, Gujarat",,
KSD,KESHOD,Gujarat,WR,"Keshod, Gujarat",21.297662,70.252274
KSA,KHASA,Punjab,NR,"Khasa, Punjab",31.610411,74.714584
KQY,KHARIKATIA,Assam,NFR,"Dhodar Ali, Assam",26.615923,94.248092
KS,KHETA SARAI,Uttar Pradesh,NR,"Nawab Yousuf Rd, Uttar Pradesh",25.965774583199998,82.6886636169
KTR,KOTHAR,Rajasthan,NWR,"Pali, Rajasthan",24.980982,73.123647
KWDP,Kakdwip,West Bengal,ER,"National Highway 117, West Bengal",21.8796,88.19387900000001
NMT,NAMTIALI,Assam,NFR,"National Highway 61, Assam",26.851588,94.619336
KRKP,KYARKOP,Karnataka,SWR,"Dharwad, Karnataka",15.442249,74.96794799999999
KUD,KUDACHI,Karnataka,SWR,"Kudchi, Karnataka",16.62608,74.85868699999999
KRG,KOREGAON,Maharashtra,CR,"Koregaon, Maharashtra",17.690976,74.147622
KQK,KOTIKULAM,Kerala,SR,"Bekal, Kerala",12.423507,75.024008
KTKR,Kumtha Khurd,Maharashtra,SCR,"State Highway 217, Maharashtra",18.4218389359,77.0092961456
KTU,KUTTIPPURAM,Kerala,SR,"Kuttippuram, Kerala",10.845723999999999,76.03339700000001
KRNI,KRISHNAI,Assam,NFR,"NH 37, Assam",26.070884,90.68256799999999
KUHI,Kuhi,Maharashtra,SECR,"Nagpur, Maharashtra",21.007558,79.35072000000001
KXD,Kokalda,Maharashtra,CR,"Amravati, Maharashtra",,
KZPB,Kazipara Barasat,West Bengal,ER,"Station Rd, West Bengal",,
KTAL,Kathalal,Gujarat,WR,"Kathalal, Gujarat",22.899659,72.986389
KUTR,Kulathur,Tamil Nadu,SR,"Keeranur, Tamil Nadu",10.57217515,78.79207688
LAT,Lathi,Gujarat,WR,"Lathi, Gujarat",21.73935,71.386531
KWF,Katwa,West Bengal,ER,"Katwa, West Bengal",23.639805,88.123575
KYH,Khairah,Bihar,NER,"Saran, Bihar",25.861013,84.760114
KYP,Kalyanpur,West Bengal,ER,"Baruipur, West Bengal",22.343456,88.414597
KTNA,Kathana,Gujarat,WR,"Bhadran, Gujarat",22.235720999999998,72.752631
KRUR,Keeranur,Tamil Nadu,SR,"Keeranur, Tamil Nadu",10.576654999999999,78.787292
KTWS,Kathuwas,Haryana,NWR,"State Highway 26, Haryana",28.1331067668,76.3437941406
KRY,Kadiri,Andhra Pradesh,SCR,"Kadiri, Andhra Pradesh",14.114788,78.165591
